Speyside Vanilla (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;100.3;4.2;7.8;3.5;4.6;0.3;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;341.1;14.4;26.7;11.9;15.8;1.0;;;;;
Nutritional values total;680;g;;682.1;28.8;53.4;23.8;31.6;2.0;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);33.24;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";18.52%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);61.1;g;;9.0%;;;;;;;;;;
ℹ️ Net carbs;38.4;g;;*∝ 5 servings@136g:* 7.7g;;;*∝ 3 servings@227g:* 12.8g;;;*energy ratio (low <20%):* 22.5%;;;;
;;;;;;;;;;;;;;
Based on “Buttermilk Vanilla”, with an infusion of Scotch spirit.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Change the vanilla flavoring to what you have, e.g. vanilla paste or essence. Just be sure to use enough, and taste the base.

Process on *Light Ice Cream*, with scrape-down, and a mix-in or respin run if needed.<br clear=all />

Rating: 😋🥛🍦 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Buttermilk 1% [REWE];500.00;ml;1;35.00;0.50;4.00;4.00;3.50;0.15;0.04;8.50;*alternative:* Milk zero fat / hi-protein [“Fairlife”];;1
Speyside Scotch Whisky 40 vol%;45.00;g;1;220.00;;;;;;2.96;;for example “Glenlivet 12”;;1
Vanilla Extract (w/ alcohol) [Native Vanilla];6.00;ml;1;300.00;;;;;;2.22;;;;1
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Glycerin (E422, VG) [hd-line];;g;1;400.00;;99.00;;;;3.70;;"Sweetness = 60%; GI = 5; Density = 1.26 g/ml";50.00;1
Milk 2% fat (hi-protein) [Fairlife];;ml;1;50.00;1.88;2.50;2.50;5.42;0.13;0.03;9.13;US brand;;1
Milk zero fat (hi-protein) [Fairlife];;ml;1;33.00;0.00;2.50;2.50;5.42;0.13;0.03;9.30;US brand;;1
SweEX (Erythritol + Xylitol 3:2);15.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 20g allulose or dextrose;100.00;1
Whey + Casein protein (grass-fed) [Vilgain];15.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Waxy Maize Starch (E1442) [Ultratex];15.00;g;2;391.00;0.15;97.00;0.00;0.50;0.50;;;*alternative:* [E1422](https://jhermann.github.io/ice-creamery/info/ingredients/#acetylated-distarch-adipate-e1422) / *any* modified starch;;1
Vanilla Bean Powder [InterVanilla];3.00;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Salt;1.00;g;2;;;;;;100.00;5.90;;;;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 0g guar, 0g xanthan, and 0g salt;73.80;1
;;;;;;;;;;;;;;
Sweetener Tablets [LightSüß];6.00;pcs;2;0.00;;;;;;;;1 tablet ≃ 4g sugar;;
Cream 32% [REWE Beste Wahl];80.00;ml;3;311.00;32.00;3.20;3.20;2.50;0.13;0.03;6.32;;;1
Soy milk 1.6% (sugar-free) [Berief];;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Walnuts (organic) [Biojoy];15.00;g;5;675.00;63.00;11.00;6.90;14.00;0.01;0.07;;add as a mix-in or topping [101kcal, 1g sugar];;
Pecan nuts (organic) [Biojoy];15.00;g;5;721.00;72.00;4.30;4.00;9.20;0.00;0.04;;add as a mix-in or topping [108kcal, 0.6g sugar];;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
